Bibliotecas,,,,,
Unidad,Nombre Unidad,Zona Coplademun,Biblioteca,Domicilio,Teléfono
1,12 de diciembre,7,-Inexistente-,,
2,27 de Septiembre,1B,-Inexistente-,,
3,"Abetos, Los",1B,-Inexistente-,,
4,Acacias Residencial,5A,-Inexistente-,,
5,Agraria,1A,-Inexistente-,,
6,"Agrícola, La",8,-Inexistente-,,
7,Agua Blanca Poblado,8,-Inexistente-,,
8,Agua Blanca Industrial,8,-Inexistente-,,
9,Agua Blanca Sur,8,-Inexistente-,,
10,Agua Fría,2A,-Inexistente-,,
11,"Águilas, Las",6,"Biblioteca Pública Municipal No. 7830  ""Manuel López Portillo""",Av. López Mateos Sur  Nº 5003. Horario de Lun-Vier de 8:00 a 20:00 hrs.,36 31 78 97 
12,"Agujas, Las",RS,-Inexistente-,,
13,Alameda de Tesistán,2A,-Inexistente-,,
14,"Alameda, La",6,-Inexistente-,,
15,"Alamitos, Los",3,-Inexistente-,,
16,Altagracia,3,-Inexistente-,,
17,Altamira,1A,-Inexistente-,,
18,"Arboleda, La",1A,-Inexistente-,,
19,Arboledas,6,-Inexistente-,,
20,Arcos de Guadalupe,5A,-Inexistente-,,
21,Arcos de Zapopan,3,-Inexistente-,,
22,Arenales Tapatíos ,7,-Inexistente-,,
23,Arroyo Hondo 1ra. Sección,2A,-Inexistente-,,
24,Arroyo Hondo 2da. Sección,2B,-Inexistente-,,
25,Atemajac del Valle,1B,"No. 6959  ""Atemajac del Valle""",Hidalgo #10. DElegación Municipal de Atemajac del Valle,38 23 01 92
26,Atlas Colomos,1A,-Inexistente-,,
27,Atlas Chapalita,5A,-Inexistente-,,
28,"Aurora, La",1B,-Inexistente-,,
29,Aves del Paraíso,1A,-Inexistente-,,
30,Azaleas Residencial,8,-Inexistente-,,
31,"Bajío, El",RS,-Inexistente-,,
32,Balcones de la Cantera,2A,-Inexistente-,,
34,Balcones del Sol (ó Balcones del Colli),7,-Inexistente-,,
35,Base Áerea Militar No. 5,4,-Inexistente-,,
36,"Batán, El",1B,"Biblioteca Pública Municipal No. 7441 ""Lic. Jorge Humberto Chavira Martínez""","Andador Agua Azul s/n, Delegación Municipal. Lun a Vier de 8:00 a 20:00 hrs.",3672 4967
37,Belenes Norte,1B,"Biblioteca del CUCEA, Universidad de Guadalajara","Periférico Norte Nº 799, Nucleo Belenes",37703486 / 37703491
38,Benito Juárez,2B,-Inexistente-,,
39,Benito Juárez Auditorio,2A,-Inexistente-,,
40,"Borrego, El",5-A,-Inexistente-,,
41,"Bóvedas, Las",4,-Inexistente-,,
43,Bosques de Zapopan,3,-Inexistente-,,
44,Bosques del Centinela Ejidal,1B,-Inexistente-,,
45,Brisas de la Primavera,7,-Inexistente-,,
46,"Briseño, El",8,-Inexistente-,,
47,Bugambilias,8,-Inexistente-,,
48,"Cabañitas, Las",1B,-Inexistente-,,
49,"Cajetes, Los",8,-Inexistente-,,
50,Callejón del Parque,5B,-Inexistente-,,
51,"Calma, La",6,-Inexistente-,,
52,"Camichín, El",8,Biblioteca,San Juan de Letrán 1998,
53,Camichines Vallarta,5A,-Inexistente-,,
54,Camino Real,5A,-Inexistente-,,
55,"Campanario, El",8,-Inexistente-,,
56,Campestre Las Palomas,RS,-Inexistente-,,
58,"Canteros, Los",2B,-Inexistente-,,
59,"Cañadas, Las (ó Bosques de San Isidro)",3,-Inexistente-,,
60,"Capullo, El",1B,-Inexistente-,,
61,Carlos Rivera Aceves,7,-Inexistente-,,
62,"Carrizal, El",1B,-Inexistente-,,
63,"Casita, La",4,-Inexistente-,,
64,"Centinela, El (ó Colinas del Centinela)",3,-Inexistente-,,
65,Centro (Cabecera),1A,Biblioteca del Colegio de Jalisco,"5 de Mayo  No. 321, esq. Javier Mina a  una cuadra Av. Americas",3633 2616
66,"Cerritos, Los",RN,-Inexistente-,,
67,Cerro de la Higuera,2B,-Inexistente-,,
