"OBJECTID","TIPO","NOMBRE","SHAPE_Length","INICIOX","INICIOY","FINALX","FINALY","CENTROIDEX","CENTROIDEY"
1,"","ROBERTO OROZCO DELGADO",318.760673,657571.408250,2301389.195173,657877.326330,2301478.763557,657724.367290,2301433.979365
2,"","DON BOSCO",425.339816,657996.859002,2301225.275045,657572.434426,2301253.122213,657784.605910,2301238.570545
3,"","COVARRUVIAS JUAN MANUEL",462.854976,657962.832250,2300703.202596,657501.812858,2300744.162980,657732.225181,2300722.610709
4,"","HILO AMARILLO",138.360155,657808.113530,2300244.966308,657675.328378,2300283.844388,657741.761524,2300264.543601
5,"","HILO VERDE",113.519546,657704.942586,2300331.601700,657817.024634,2300314.480932,657760.725230,2300321.671705
6,"","HILO ROJO",348.243539,657708.863098,2300396.616228,657708.206330,2300397.036452,657535.750015,2300414.170025
7,"","AGUJAS",237.385223,657711.658618,2300055.451044,657941.958010,2300112.460324,657826.917406,2300083.591056
8,"","GENERAL RAMON CORONA",8217.881679,661232.267389,2293156.869405,654297.490935,2296667.183137,656792.681037,2294257.673033
9,"","LOMA BONITA",44.672097,657268.275578,2301658.988197,657274.294906,2301703.252901,657271.285242,2301681.120549
10,"","LOMA ALEGRE",122.154261,657486.384634,2301722.117669,657365.306106,2301738.204325,657425.809102,2301729.926366
11,"","LOMA VERDE",85.506599,657359.032698,2301692.212261,657274.294906,2301703.252901,657316.672426,2301697.991087
12,"","LOMA REAL",38.698367,657286.604026,2301793.554981,657325.015290,2301788.849829,657305.809658,2301791.202405
13,"","LOMA REAL",76.136929,657415.668730,2301777.096357,657491.099514,2301766.750885,657453.384122,2301771.923621
14,"","LOMA REAL",43.933881,657372.142330,2301783.066149,657415.668730,2301777.096357,657393.905530,2301780.081253
15,"","LOMA REAL",47.480693,657372.142330,2301783.066149,657325.015290,2301788.849829,657348.579520,2301785.963462
16,"","LOMA BAJA",90.176280,657343.908986,2301921.244454,657433.463162,2301910.670374,657388.686074,2301915.957414
17,"","LOMA BLANCA",44.119363,657337.663866,2301877.576102,657343.908986,2301921.244454,657340.876364,2301899.394219
18,"","LOMA BLANCA",44.599950,657331.026298,2301833.483685,657337.663866,2301877.576102,657334.176834,2301855.559899
19,"","LOMA SECA",43.828323,657421.403898,2301821.552293,657427.421562,2301864.951974,657424.207668,2301843.286354
20,"","LOMA DEL NORTE",82.373566,657337.663866,2301877.576102,657255.820410,2301886.891814,657296.750141,2301882.297444
21,"","LOMA DEL BOSQUE",43.163562,657520.539898,2301896.935462,657514.463354,2301854.201766,657517.501626,2301875.568614
22,"","LOMA DEL BOSQUE",45.543766,657508.273274,2301809.080741,657514.463354,2301854.201766,657511.370704,2301831.640891
23,"","RAMON OROZCO",54.778297,657573.043450,2301307.897125,657572.434426,2301253.122213,657572.738938,2301280.509669
24,"","RAMON OROZCO",81.359749,657571.408250,2301389.195173,657573.043450,2301307.897125,657571.652147,2301348.553201
25,"","LOMA AZUL",86.530196,657245.203066,2301844.522150,657331.026298,2301833.483685,657288.114682,2301839.002918
26,"","LOMA DEL BOSQUE",44.264736,657508.273274,2301809.080741,657501.693178,2301765.307813,657504.983226,2301787.194277
27,"","LOMA DEL OCAMPO",87.760059,657421.403898,2301821.552293,657508.273274,2301809.080741,657464.838586,2301815.316517
28,"","LOMA DEL NORTE",87.716608,657514.463354,2301854.201766,657427.421562,2301864.951974,657470.961539,2301859.782355
29,"","LOMA DEL NORTE",90.658478,657337.663866,2301877.576102,657427.421562,2301864.951974,657382.523678,2301871.069963
30,"","LOMA SECA",44.824350,657421.403898,2301821.552293,657415.668730,2301777.096357,657418.536314,2301799.324325
31,"","LOMA SECA",46.122816,657433.463162,2301910.670374,657427.421562,2301864.951974,657430.538922,2301887.795117
32,"","LOMA BLANCA",45.036799,657331.026298,2301833.483685,657325.015290,2301788.849829,657328.020794,2301811.166757
33,"","LOMA BAJA",70.826458,657558.592378,2301893.532710,657629.166202,2301888.129574,657593.818552,2301890.100063
34,"","LOMA BAJA",38.206439,657520.539898,2301896.935462,657558.592378,2301893.532710,657539.562313,2301895.202921
35,"","LOMA BAJA",88.153667,657433.463162,2301910.670374,657520.539898,2301896.935462,657477.002787,2301903.812035
36,"","LOMA DEL BOSQUE",44.881555,657491.099514,2301766.750885,657486.384634,2301722.117669,657488.742074,2301744.434277
37,"","LOMA REAL",65.332366,657501.693178,2301765.307813,657566.435066,2301756.543909,657534.064122,2301760.925861
