Comercio Formal,,,,
Unidad,Nombre Unidad,Zona Coplademun,Giro,Cantidad
1,12 de diciembre,7,ABARROTES EN GENERAL,12
1,12 de diciembre,7,ESTETICA,1
1,12 de diciembre,7,MISCELANEA,1
1,12 de diciembre,7,PINTURAS,1
1,12 de diciembre,7,TORTILLERÍA,1
2,27 de Septiembre,1B,ABARROTES EN GENERAL,7
2,27 de Septiembre,1B,ABARROTES EN GENERAL CON CERVEZA,1
2,27 de Septiembre,1B,ALBERCA,1
2,27 de Septiembre,1B,ALIMENTO PARA ANIMALES,1
2,27 de Septiembre,1B,ALIMENTOS Y BEBIDAS,1
2,27 de Septiembre,1B,Boneteria y Merceria,1
2,27 de Septiembre,1B,CARPINTERÍA Y TAPICERÍA,1
2,27 de Septiembre,1B,CONSULTORIO DENTAL,1
2,27 de Septiembre,1B,ESTÉTICA,1
2,27 de Septiembre,1B,FARMACIA,1
2,27 de Septiembre,1B,"JUGOS, CHOCOMILES Y CENA",1
2,27 de Septiembre,1B,Manufactura Domiciliaria,1
2,27 de Septiembre,1B,Maquinaria en General,1
2,27 de Septiembre,1B,Oficinas Administrativas,2
2,27 de Septiembre,1B,Panaderia,1
2,27 de Septiembre,1B,Papeleria,3
2,27 de Septiembre,1B,Ropa,1
2,27 de Septiembre,1B,TALLER,1
2,27 de Septiembre,1B,Tapiceria,1
2,27 de Septiembre,1B,VENTA Y EMPAQUE DE ESPEJOS,1
5,Agraria,1A,ABARROTES EN GENERAL,1
5,Agraria,1A,Accesorios,1
5,Agraria,1A,AGENCIA DE AUTOS,1
5,Agraria,1A,Alimentos,1
5,Agraria,1A,CAFETERÍA,1
5,Agraria,1A,DEPOSITO DE CERVEZA,1
5,Agraria,1A,DISCOTEQUE CON BAR,1
5,Agraria,1A,DULCERÍA,1
5,Agraria,1A,Escuela Preescolar,1
5,Agraria,1A,Farmacia,1
5,Agraria,1A,FERRETERÍA Y TLAPALERÍA,1
5,Agraria,1A,FLORERÍA,1
5,Agraria,1A,GASOLINERIA,1
5,Agraria,1A,MINI SÚPER,1
5,Agraria,1A,Oficina Administrativa,2
5,Agraria,1A,REFACCIONARÍA,1
5,Agraria,1A,Restaurant,1
5,Agraria,1A,RESTAURANTE BAR,3
5,Agraria,1A,SALÓN PARA FIESTAS,1
5,Agraria,1A,TALLER MECÁNICO,1
6,"Agrícola, La",8,Abarrotes,35
6,"Agrícola, La",8,Accesorios automotrices,1
6,"Agrícola, La",8,Adiestramiento de caninos,1
6,"Agrícola, La",8,Agencia autos seminuevos,1
6,"Agrícola, La",8,Alimentos,9
6,"Agrícola, La",8,Aluminio,1
6,"Agrícola, La",8,Artesanias,2
6,"Agrícola, La",8,Articulos de belleza,2
6,"Agrícola, La",8,Articulos de limpieza (Albercas),1
6,"Agrícola, La",8,Articulos fotograficos,1
6,"Agrícola, La",8,Bazar,4
6,"Agrícola, La",8,Blancos,1
6,"Agrícola, La",8,Bodega,8
6,"Agrícola, La",8,Boneteria y merceria,1
6,"Agrícola, La",8,Cancha deportiva de futbol rapido,1
6,"Agrícola, La",8,Carniceria,2
6,"Agrícola, La",8,Carpinteria,3
6,"Agrícola, La",8,Compra venta de birlos y tornillos,1
6,"Agrícola, La",8,"Compra venta de chatarra, aluminio, cartón, etc.",1
6,"Agrícola, La",8,Consultorio médico,2
6,"Agrícola, La",8,Consultorio odontologico dental,2
6,"Agrícola, La",8,Cremeria,1
6,"Agrícola, La",8,"Elavoracion y venta de cajeta, mermelada y dulces",1
6,"Agrícola, La",8,Escuela preescolar,1
6,"Agrícola, La",8,Estacion de gas,1
6,"Agrícola, La",8,Estetica,11
6,"Agrícola, La",8,Estudio fotografico,1
6,"Agrícola, La",8,Expendio de Pollo,2
6,"Agrícola, La",8,Fabricas e Industrias,15
6,"Agrícola, La",8,Farmacia,7
6,"Agrícola, La",8,Ferreteria,2
6,"Agrícola, La",8,Floreria,2
6,"Agrícola, La",8,Gasolinera,1
6,"Agrícola, La",8,Herreria,5
6,"Agrícola, La",8,Institucion bancaria y de crédito,1
6,"Agrícola, La",8,Juegos de Video,7
6,"Agrícola, La",8,Jugueteria,1
6,"Agrícola, La",8,Lavanderia,1
6,"Agrícola, La",8,Llantera,6
6,"Agrícola, La",8,Madereria,2
6,"Agrícola, La",8,Manufactura domiciliaria,1
6,"Agrícola, La",8,Maquila en giro vigente,1
6,"Agrícola, La",8,Maquinaria en general,1
6,"Agrícola, La",8,Materiales para construccion,2
6,"Agrícola, La",8,Materiales para Contruccion,8
6,"Agrícola, La",8,Minisuper,2
6,"Agrícola, La",8,Minisuper con venta de cerveza vinos y licores,2
6,"Agrícola, La",8,Miselanea,2
6,"Agrícola, La",8,Muebleria,2
6,"Agrícola, La",8,Obrador,1
6,"Agrícola, La",8,Oficinas  Administrativas,8
6,"Agrícola, La",8,Optica,1
6,"Agrícola, La",8,Paleteria,3
6,"Agrícola, La",8,Panaderia,2
6,"Agrícola, La",8,Papeleria,7
6,"Agrícola, La",8,Purificacion de agua para consumo humano,3
6,"Agrícola, La",8,Refaccioinaria,6
6,"Agrícola, La",8,Refacciones Nuevas,1
6,"Agrícola, La",8,Regalos,1
6,"Agrícola, La",8,Renta de sistema de computo,2
6,"Agrícola, La",8,Renta inmobilarioa de articulos para fiesta,1
6,"Agrícola, La",8,Reparacion de carroceria,1
6,"Agrícola, La",8,Ropa,4
6,"Agrícola, La",8,Salón de belleza,1
6,"Agrícola, La",8,Taller,4
6,"Agrícola, La",8,Taller de aparatos electronicos y electricos,4
6,"Agrícola, La",8,Taller de mofles,1
6,"Agrícola, La",8,Taller de muelle,1
6,"Agrícola, La",8,Taller de soldadura,2
6,"Agrícola, La",8,Taller de torno,2
6,"Agrícola, La",8,Taller mecanico,8
6,"Agrícola, La",8,Telefonos celulares,1
6,"Agrícola, La",8,Tienda de deportes,1
6,"Agrícola, La",8,Tller autoelectrico,2
6,"Agrícola, La",8,Tortilleria,2
6,"Agrícola, La",8,Venta de bebidas de baja graduacion y deposito,3
6,"Agrícola, La",8,Vidriera,1
6,"Agrícola, La",8,Vinos y licores en vianterias y giros similares,1
7,Agua Blanca Poblado,8,Abarrotes,23
7,Agua Blanca Poblado,8,Academia de actividades deportivas y de esparcimiento,3
7,Agua Blanca Poblado,8,Academia de natacion,1
7,Agua Blanca Poblado,8,Accesorios,1
7,Agua Blanca Poblado,8,Accesorios automotrices,1
7,Agua Blanca Poblado,8,Acuario,1
7,Agua Blanca Poblado,8,Agencia de mensajeria y paqueteria,3
7,Agua Blanca Poblado,8,Alimentos,14
7,Agua Blanca Poblado,8,Alimentos para uso amimal,2
7,Agua Blanca Poblado,8,Almacen,2
7,Agua Blanca Poblado,8,Aluminio,1
7,Agua Blanca Poblado,8,Articulos de belleza,1
7,Agua Blanca Poblado,8,Autobaño,3
7,Agua Blanca Poblado,8,Bazar,2
7,Agua Blanca Poblado,8,Bebidas sin contenido de alcohol,1
7,Agua Blanca Poblado,8,Bisuteria,1
7,Agua Blanca Poblado,8,Blancos,1
7,Agua Blanca Poblado,8,Bodegas,6
7,Agua Blanca Poblado,8,Boneteria y merceria,2
