Datos Poblacionales,,,,,,,,,,,
Unidad,Nombre Unidad,Zona Coplademun,Habitantes,Hombres,Mujeres,Población de 0 a 14 Años,Población de 15 a 64 Años,Población Mayor de 18 Años,Viviendas Habitadas,Promedio de Ocupantes por Vivienda,Clave INEGI
1,12 de diciembre,7,"1,782","1,005",953,759,"1,143","1,012",394,5.221,0
2,27 de Septiembre,1B,"1,730",824,906,469,"1,122","1,171",478,4.141666667,001-F
3,"Abetos, Los",1B,367,179,188,121,240,231,101,3.63,002-L
4,Acacias Residencial,5A,499,255,244,75,338,,188,2.654,0
5,Agraria,1A,111,48,57,18,79,86,51,2.526666667,003-E
6,"Agrícola, La",8,"3,256","1,597","1,655",922,"2,128","2,082",830,4.358333333,004-J
7,Agua Blanca Poblado,8,"1,503",729,765,413,999,990,390,4.258947368,005-D
8,Agua Blanca Industrial,8,"2,751","1,403","1,315",766,"1,857","1,767",647,4.505384615,006-I
9,Agua Blanca Sur,8,508,249,246,131,343,448,148,4.211111111,007-C
10,Agua Fría,2A,"7,109","3,644","3,458","2,540","4,227","3,927","1,776",4.522340426,008-H
11,"Águilas, Las",6,"10,015","4,691","5,309","1,610","6,877","7,506","3,285",3.414794521,009-B
12,"Agujas, Las",RS,"3,685","1,827","1,849","1,155","2,151","1,999","1,084",4.866315789,0
13,Alameda de Tesistán,2A,252,128,124,87,159,151,67,4.613333333,159-I
14,"Alameda, La",6,"1,789",856,933,416,"1,269","1,190",565,3.567142857,010-E
15,"Alamitos, Los",3,43,23,20,12,30,28,10,5.38,0
16,Altagracia,3,"5,965","2,835","3,129","1,562","4,176","4,019","2,138",3.362666667,011-J
17,Altamira,1A,"2,262","1,062","1,200",420,"1,638","1,722",801,3.308636364,012-D
18,"Arboleda, La",1A,"2,896","1,395","1,492",668,"1,824","2,060",704,4.438518519,013-I
19,Arboledas,6,"8,410","3,921","4,484","1,159","6,108","6,502","3,175",3.13244898,014-C
20,Arcos de Guadalupe,5A,"3,390","1,647","1,728",584,"2,552","2,551","1,004",3.892653061,015-H
21,Arcos de Zapopan,3,"17,296","8,354","8,931","3,817","12,520","12,157","5,303",3.867291667,016-B
22,Arenales Tapatíos ,7,"22,295","11,105","11,188","7,406","14,147","13,220","5,363",4.642222222,017-G
23,Arroyo Hondo 1ra. Sección,2A,"7,301","3,602","3,693","2,155","4,771","4,614","1,693",4.645106383,018-K
24,Arroyo Hondo 2da. Sección,2B,"2,448","1,227","1,221",766,"1,560","1,520",592,4.69,0
25,Atemajac del Valle,1B,"10,853","5,242","5,604","2,631","7,282","7,611","2,939",4.144146341,019-F
26,Atlas Colomos,1A,"1,606",768,838,311,"1,150","1,188",487,3.981818182,020-I
27,Atlas Chapalita,5A,522,253,269,100,395,402,267,2.426666667,021-C
28,"Aurora, La",1B,"1,123",531,592,238,816,826,336,3.727142857,022-H
29,Aves del Paraíso,1A,13,6,7,5,8,8,4,3.25,023-B
30,Azaleas Residencial,8,498,229,269,91,375,382,133,4.015,024-G
31,"Bajío, El",RS,27,15,12,7,17,11,5,5.4,0
32,Balcones de la Cantera,2A,"8,751","4,323","4,428","2,722","5,632","5,429","1,983",4.785846154,025-K
34,Balcones del Sol (ó Balcones del Colli),7,"4,205","2,091","2,114","1,414","2,663","2,497",958,4.7,026-F
35,Base Áerea Militar No. 5,4,"3,265","1,842","11,313","1,079","2,055","1,878",815,4.2,0
36,"Batán, El",1B,"4,591","2,206","2,385","1,188","3,041","3,164","1,348",3.749459459,027-L
37,Belenes Norte,1B,900,426,474,230,612,614,245,4.356666667,028-E
38,Benito Juárez,2B,"7,498","3,665","3,821","2,085","4,832","4,905","1,835",4.426363636,029-J
39,Benito Juárez Auditorio,2A,"2,704","1,343","1,352",912,"1,687","1,607",678,3.03,030-B
40,"Borrego, El",5-A,98,48,50,29,68,61,22,4.19,031-G
41,"Bóvedas, Las",4,"4,053","1,986","2,065","1,175","2,697","2,634",944,4.677037037,034-L
43,Bosques de Zapopan,3,,,,,,,,0,0
44,Bosques del Centinela Ejidal,1B,,,,,,,,0,0
45,Brisas de la Primavera,7,245,121,124,111,132,,52,4.712,0
46,"Briseño, El",8,"8,774","4,380","4,394","2,509","5,818","5,702","2,135",4.583678161,035-E
47,Bugambilias,8,"10,091","4,870","5,198","1,934","7,469","7,455","3,238",3.816521739,036-J
48,"Cabañitas, Las",1B,"2,585","1,283","1,302",850,"1,626","1,529",615,4.77,037-D
49,"Cajetes, Los",8,"5,430","2,718","2,690","1,920","3,344","3,143","1,338",4.618490566,038-I
50,Callejón del Parque,5B,317,160,157,67,240,233,92,3.911666667,039-C
51,"Calma, La",6,"9,511","4,528","4,975","1,333","6,802","7,385","3,491",3.155072464,040-F
52,"Camichín, El",8,"5,591","2,727","2,819","1,877","3,609","3,495","2,456",2.28,0
53,Camichines Vallarta,5A,525,237,288,50,433,453,200,3.285,041-L
54,Camino Real,5A,"4,195","2,158","2,037",568,"3,045","2,979","1,422",3.021111111,042-E
55,"Campanario, El",8,"4,359","2,163","2,164","1,307","2,888","2,747","1,219",4.219074074,043-J
56,Campestre Las Palomas,RS,53,27,26,15,36,33,27,3.375,0
58,"Canteros, Los",2B,"1,639",826,813,492,"1,061","1,018",377,4.74,044-D
59,"Cañadas, Las (ó Bosques de San Isidro)",3,"1,793",900,893,411,"1,201","1,197",711,3.71125,0
60,"Capullo, El",1B,915,455,455,192,636,681,275,3.774444444,045-I
61,Carlos Rivera Aceves,7,"4,032","1,998","2,021","1,489","2,421","2,214",912,5.013235294,046-C
62,"Carrizal, El",1B,358,169,189,105,225,231,78,4.62,047-H
63,"Casita, La",4,"2,806","1,357","1,449",870,"1,836","1,760",840,4.21875,048-B
64,"Centinela, El (ó Colinas del Centinela)",3,713,323,366,215,425,402,224,4.415714286,342-J
65,Centro (Cabecera),1A,"9,309","4,297","4,908","2,050","6,273","6,795","2,948",3.16,294-I
66,"Cerritos, Los",RN,811,409,408,,,,201,4.03,050-J
67,Cerro de la Higuera,2B,51,30,21,26,24,22,10,5.1,051-D
68,Chapalita de Occidente,5A,"1,018",479,539,138,759,788,320,3.663636364,053-C
69,Chapalita Las Fuentes,5A,"1,310",670,640,228,991,982,401,3.65,054-H
70,Chapalita Oriente,5A,"1,348",635,711,205,892,"1,024",522,3.096875,055-B
71,Chapalita Inn,5A,"3,487","1,665","1,822",762,"2,570","2,505","1,251",3.403333333,0
72,Chapalita Sur,6,"2,077",932,"1,141",306,"1,388","1,655",794,3.031363636,056-G
73,"Charco, El",7,,,,,,,,0,0
74,"Chicalote, el",5A,,,,,,,,0,0
75,"Ciudad de los Niños, Fraccionamiento",5A,"1,918",887,"1,030",287,"1,421","1,528",737,3.07125,058-F
76,Ciudad del Sol,6,"4,476","2,089","2,364",608,"3,066","3,525","1,739",3.196617647,059-L
77,Ciudad del Tepeyac,6,"9,002","4,335","4,667","2,827","5,857","5,651","2,555",3.52,060-C
78,Ciudad Granja,5B,"11,135","5,407","5,703","2,759","7,556","7,653","3,565",3.508695652,061-H
80,Colegio del Aire,4,972,477,495,293,609,592,379,4.081875,0
81,Colinas de Atemajac,1B,"3,407","1,660","1,747",650,"2,524","2,578",998,3.8312,063-G
82,Colinas de las Águilas,6,"2,417","1,124","1,293",427,"1,681","1,802",822,3.47,064-K
83,Colinas de la Primavera,7,"5,228","2,635","2,593","2,293","2,746","2,571","1,083",4.84,328-J
84,Colinas de los Belenes,1B,275,126,110,70,145,130,80,4.765,0
85,Colinas de los Robles,3,"2,274","1,111","1,163",706,"1,428","1,350",656,4.532580645,0
86,Colinas de San Javier,5B,"1,953",901,"1,052",298,"1,419","1,508",597,3.921666667,065-F
87,Colinas de Tabachines,1B,"1,256",619,637,369,827,823,286,4.616666667,066-L
89,Colinas del Rey,3,"1,870",943,927,511,"1,284","1,186",660,3.75,067-E
90,Colinas del Río Blanco,3,,,,,,,,0,0
91,Colli CTM,6,"5,923","2,891","3,032","1,269","4,381","4,364","1,542",4.18975,068-J
93,Colli Primavera,7,"1,668",801,866,293,"1,237","1,290",523,3.692222222,070-G
95,Colli Poblado (ó Colli Ejidal),6,"1,428",687,741,459,894,819,280,5.11,069-D
96,Colli Sitio,5A,"1,491",751,740,391,987,"1,013",358,4.532777778,071-K
97,Colli Urbano ,6,"11,934","5,773","6,116","2,871","8,068","8,091","3,767",3.686377953,072-F
98,Condominio Coto Del Rey,5A,,,,,,,,0,0
99,Condominio Navío La Calma,6,,,,,,,,0,0
100,Conjunto Habitacional Hacienda Los Belenes,1B,,,,,,,,0,0
101,Conjunto Habitacional U.A.G.,1A,"2,459","1,190","1,269",599,"1,781","1,692",715,3.44,261-D
103,Conjunto Laureles,1B,"2,820","1,349","1,471",730,"2,023","1,949","1,221",2.987352941,073-L
104,Conjunto Patria Residencial,1B,844,377,467,178,617,604,212,3.91,074-E
105,Conjunto Ritz,1B,642,310,332,157,466,462,302,2.91,075-J
106,Conjunto San Gilberto,1B,428,210,218,168,249,250,126,3.4,076-D
107,Conjunto Zapopan,1B,56,25,31,15,40,40,20,2.8,077-I
108,Constitución,1B,"27,515","13,381","14,074","7,261","17,994","18,703","7,133",4.173377483,078-C
109,Constituyentes,1B,"2,149","1,068","1,075",519,"1,435","1,499",578,4.16,079-H
110,Copala,RN,298,143,155,95,164,163,70,4.38,0
111,Copalita Poblado,RS,307,155,152,101,169,177,71,4.4,0
112,"Coronilla, La",2B,"5,104","2,534","2,556","1,836","2,973","2,782","1,340",4.435147059,081-E
113,Coronilla del Ocote,RS,97,48,49,21,72,71,17,4.1,0
114,"Cueva, La",RS,77,41,36,28,47,44,17,4.53,0
115,División Del Norte,2A,"1,579",797,782,422,"1,057","1,075",441,3.81,083-D
116,DIF,1A,129,53,76,38,70,78,29,3.92,307-H
117,Don Bosco Vallarta,5A,285,131,154,32,215,239,112,3.13,0
118,Ecológica Seattle,1B,"1,238",571,667,310,830,833,314,3.94,084-I
119,Ejido Copalita,RN,"1,824",941,883,601,"1,064","1,019",400,4.66,0
120,Ejido Zapopan,?,710,352,358,249,430,399,153,4.64,085-C
121,Emiliano Zapata,2A,"3,202","1,565","1,609","1,058","1,943","1,871",776,4.780333333,086-H
122,"Estancia, La",5A,"89,610","4,107","4,503","1,214","6,544","6,849","2,962",3.334590164,087-B
123,"Estrada, La",RS,"1,624",808,816,549,"1,012",973,436,4.658333333,0
124,Eucalipto Vallarta,5A,972,463,509,151,719,758,397,3.14,088-G
125,Exitmex,5A,"3,958","1,939","2,019","1,254","2,604","2,488","1,192",3.31,089-K
126,Exhacienda del Lazo,RN,228,121,107,85,120,130,55,4.17,0
127,"Experiencia, la",2B,"1,924",927,992,441,"1,265","1,373",601,3.594444444,090-D
128,"Flores, Las",5A,659,309,350,90,439,493,237,3.168333333,091-I
129,"Floresta del Colli, La",7,"2,889","1,442","1,442","1,072","1,738","1,605",720,4.795,0
130,"Florida, La",8,"2,889","1,442","1,109",764,"1,400","1,303",560,4.803636364,092-C
131,Fortín ,7,"6,737","3,332","3,360","2,131","4,423","4,266","3,001",3.494477612,343-D
132,"Fortines, Los",7,,,,,,,,0,0
133,"Bosques del Centinela, Fraccionamiento",2A,"2,924","1,457","1,467",962,"1,840","1,693",936,3.53804878,344-I
134,"Cristal, Fraccionamiento",8,108,53,55,30,76,72,26,4.5,345-C
136,"Los Paraísos, Fraccionamiento",1B,,,,,,,,0,0
137,Francisco Sarabia,8,"2,416","1,193","1,201",720,"1,509","1,541",674,4.159,094-B
138,Francisco Sarabia Poniente,8,306,158,148,109,189,177,52,5.88,095-G
139,Francisco Villa (antes villa de Torremolinos),3,"5,032","2,469","2,563","1,500","3,432","3,187","1,764",4.47,096-K
140,"Fresno, El",4,"1,313",634,672,496,769,715,326,4.502777778,0
141,"Fuentes, Las",6,"2,778","1,272","1,506",454,"1,874","2,004","1,080",3.204666667,098-L
142,"Garabato, El",8,"1,575",755,820,500,"1,053",941,380,4.7125,0
143,"Giralda, la",6,"1,366",632,734,567,694,718,454,2.75,099-E
144,Girasoles,4,"3,388","1,648","1,740",932,"2,206","2,258",875,4.217692308,100-J
145,Girasoles Elite,4,422,215,207,136,283,270,134,3.566666667,0
146,"Gloria, La",5A,"1,435",734,675,480,897,821,368,5.042727273,347-B
147,González Ortega,1B,691,354,337,182,489,471,256,2.827142857,101-D
148,"Grana, La",3,,,,,,,,0,0
149,Guadalajarita (ó Club Atlas),1A,55,26,29,10,38,42,19,3.7,062-B
150,Guadalupe Jardín,5A,"1,774",868,906,324,"1,341","1,325",561,3.580769231,102-I
151,"Guayabos, Comunidad Ecológica, Los",2A,53,25,28,11,39,37,17,3.12,0
152,Gusa,1B,616,308,308,135,438,450,166,3.96,103-C
153,Haciendas de las Lomas,5B,583,267,308,129,425,413,179,3.48,104-H
154,Hacienda de Tepeyac I,6,"4,718","2,292","2,426","1,020","3,329","3,221","1,587",3.398275862,105-B
155,Hacienda de Tepeyac II,6,"1,850",908,942,658,"1,112","1,089",521,3.54,348-G
156,Hacienda la Mora,4,"2,099","1,065","1,034",595,"1,383","1,385",562,4.19,106-G
157,Hacienda del Valle,3,"6,394","3,082","3,306","1,983","4,028","3,723","1,981",3.901527778,346-H
158,Haciendas de la Calma,6,,,,,,,,0,0
159,"Haciendita, La",8,"1,421",701,720,508,882,812,398,4.064285714,108-F
160,Heroes Nacionales,4,827,449,448,357,514,465,225,4.558888889,0
161,"Higuera, La",2B,"2,891","1,450","1,392","1,127","1,629","1,481",797,4.4926,312-I
162,Hogares de Atemajac,2A,521,273,248,177,326,303,105,4.96,109-L
163,Hogares,2B,716,357,359,243,430,428,142,5.05,110-E
164,Hogares de Nuevo México,3,"4,309","2,122","2,157","1,456","2,602","2,455","1,251",4.383454545,0
165,Hogares del Batán,1B,"2,038","1,009","1,027",556,"1,405","1,365",640,3.865454545,362-G
166,Hoja Verde,1B,89,43,46,14,71,69,25,3.56,112-B
167,Huaxtla,RN,97,47,50,25,68,64,24,4.04,0
168,"Huerta, La",1B,601,293,308,108,449,457,163,3.963333333,113-G
169,"Húmedo de Nextipac, El",RS,"5,416","2,678","2,738","2,024","2,847",,"1,139",4.755,0
170,Indígena de Mezquitán ,2B,"5,874","2,873","2,996","1,937","3,619","3,521","1,420",4.628666667,114-K
171,Indígena de San Juan Ocotán,4,,,,,,,,0,0
172,Industrial Los Belenes,1B,300,148,152,137,159,146,67,4.48,115-F
173,Industrial Zapopan Norte,3,230,113,117,71,151,151,80,3.61,0
175,Ixcatán Poblado,RN,"1,203",577,626,406,722,697,279,4.34,0
176,Jacarandas,1A,630,270,360,99,459,514,239,2.81,116-L
177,Jardines de Santa Ana  ,8,762,379,383,256,484,438,199,4.564444444,349-K
178,Jardines de San Ignacio,5A,"2,758","1,256","1,449",341,"1,852","2,196","1,193",2.865454545,117-E
179,Jardín de Vallarta,5A,475,212,263,176,293,280,116,4.09,118-J
180,Jardines Tapatíos,7,"1,955",869,974,688,"1,201","1,109",525,4.486363636,132-J
181,Jardines Tepeyac,5A,472,217,255,86,335,344,195,2.635,0
182,Jardines del Ixtépete,8,"1,060",536,524,292,725,697,289,4.15,119-D
183,Jardín Real,4,"7,546","3,613","3,915","2,305","5,059","4,756","2,541",3.924672897,0
184,Jardines de Chapalita,5A,"1,506",713,793,414,"1,005",960,445,3.729166667,0
