DELITOS PATRIMONIALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBO DE VEHÍCULO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,ENE,FEB,MAR,ABR,MAY,JUN,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,
,164,158,200,165,178,169,,"2,240",,,,,,,,,,,,,,,,,,,,,,,,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,183,189,210,215,230,179,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,ENE,FEB,MAR,ABR,MAY,JUN,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,
,210,179,174,196,182,179,,"2,194",,,,,,,,,,,,,,,,,,,,,,,,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,185,198,194,174,175,148,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,ENE,FEB,MAR,ABR,MAY,JUN,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,
,191,199,217,180,252,213,,"2,403",,,,,,,,,,,,,,,,,,,,,,,,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,211,215,188,186,192,159,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL 2001-2003,,,6837,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,ENE,FEB,MAR,ABR,MAY,JUN,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,
,175,148,132,131,160,150,,"1,735",,,,,,,,,,,,,,,,,,,,,,,,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
