Infraestructura Deportiva,,,,,,,,,
Unidad,Nombre Unidad,Zona Coplademun,Espacio Deportivo,Administrado por,Domicilio,Tipo,Descripción Tipo,Clase,Descripción Clase
,,,,,,,,,Desconocido
1,12 de diciembre,7,Cancha de futbol,,,,Desconocido,,Desconocido
1,12 de diciembre,7,- Inexistente -,,,99,NINGUNO,99,NINGUNO
2,27 de Septiembre,1B,-Inexistente-,,,99,NINGUNO,99,NINGUNO
3,"Abetos, Los",1B,Inexistente,,,99,NINGUNO,99,NINGUNO
7,Agua Blanca Poblado,8,Unidad deportiva del Sindicato de Trabajadores de la Industria Embotelladora,Sindicato,"Guadalupe Gallo, frente al 22",1,Unidad Deportiva,2,Privado
10,Agua Fría,2A,-Inexistente-,,,99,NINGUNO,99,NINGUNO
11,"Águilas, Las",6,Unidad Deportiva,Vecinos,"Francisco Villa frente al 4989, esq. Río Cihuatlán",1,Unidad Deportiva,1,Público
11,"Águilas, Las",6,Cancha,Consejo,"Sierra Cuale, esquina Av. López Mateos",2,Cancha Individual,1,Público
12,"Agujas, Las",RS,Cancha de basquetbol,,"Tafeta y Casimir, en Fracc. Telares",2,Cancha Individual,1,Público
14,"Alameda, La",6,- Inexistente -,,,99,NINGUNO,99,NINGUNO
15,"Alamitos, Los",3,Inexistente,,,99,NINGUNO,99,NINGUNO
16,Altagracia,3,"Módulo Deportivo ""Centro Educativo y Cultural""",Consejo,Av. Industria Textil Nº 36,1,Unidad Deportiva,1,Público
16,Altagracia,3,"Unidad Deportiva ""Flores Magón""",Consejo,Av. Altagracia esq. Industria Textil,1,Unidad Deportiva,1,Público
17,Altamira,1A,"Unididad Deportiva ""Altamira""",,Por calle del Cromlech # 657 y Asirios,1,Unidad Deportiva,1,Público
18,"Arboleda, La",1A,Cancha,Consejo,"Paseo Arboledas, entre Tesistán y Sta. Margarita",2,Cancha Individual,1,Público
19,Arboledas,6,Squash Copérnico,,Copérnico No. 3735,3,Club Deportivo,2,Privado
20,Arcos de Guadalupe,5A,"Escuela de Fútbol Americano ""Carneros""",,Rafael Sanzio y Ecónomos,3,Club Deportivo,2,Privado
21,Arcos de Zapopan,3,"Módulo Deportivo ""Arcos de Zapopan""",Consejo,"Arco Gótico, Arco Bizantino y Av. Tesistán",1,Unidad Deportiva,1,Público
22,Arenales Tapatíos ,7,Cancha de futbol,,Diamante y P. Primavera,,Desconocido,,Desconocido
22,Arenales Tapatíos ,7,Cancha de futbol,,Av. Arenales y Uranio,,Desconocido,,Desconocido
22,Arenales Tapatíos ,7,Cancha de futbol,,Cromita y Mercurio,,Desconocido,,Desconocido
22,Arenales Tapatíos ,7,Cancha,Consejo,"Cromita y Níquel, frente a Primaria",2,Cancha Individual,1,Público
23,Arroyo Hondo 1ra. Sección,2A,Cancha,Consejo,Federalismo esquina González Gallo Ote,2,Cancha Individual,1,Público
24,Arroyo Hondo 2da. Sección,2B,Cancha,,Camellón de la Calle Las Torres,2,Cancha Individual,1,Público
25,Atemajac del Valle,1B,Cancha,Vecinos,Ramón Corona y Granaditos,2,Cancha Individual,1,Público
27,Atlas Chapalita,5A,Club Deportivo Atlas,,Copernico y av. Guadaluipe,3,Club Deportivo,2,Privado
28,"Aurora, La",1B,Cancha de futbol y basquet bol,,Paulino Olvera y Epigmenio Preciado ,2,Cancha Individual,1,Público
29,Aves del Paraíso,1A,-Inexistente-,,,99,NINGUNO,99,NINGUNO
30,Azaleas Residencial,8,Inexistente,,,99,NINGUNO,99,NINGUNO
31,"Bajío, El",RS,Gotcha,Particulares,Del Bajío S/N,3,Club Deportivo,2,Privado
32,Balcones de la Cantera,2A,-Inexistente-,,,99,NINGUNO,99,NINGUNO
34,Balcones del Sol (ó Balcones del Colli),7,Unidad deportiva Balcones del Sol,Comude,Pirul y Toronja,1,Unidad Deportiva,1,Público
36,"Batán, El",1B,-Inexistente-,,,99,NINGUNO,99,NINGUNO
38,Benito Juárez,2B,Cancha,Consejo,"J. Jesús Martínez, Priv. Canteros.",2,Cancha Individual,1,Público
39,Benito Juárez Auditorio,2A,-Inexistente-,,,99,NINGUNO,99,NINGUNO
40,"Borrego, El",5-A,Cancha de Basquet Bol,,Privada Pintores y C. s/n,2,Cancha Individual,2,Privado
41,"Bóvedas, Las",4,Unidad Deportiva,,Av. Acueducto entre San Pedro y San Pablo,1,Unidad Deportiva,1,Público
43,Bosques de Zapopan,3,Inexistente,,,99,NINGUNO,99,NINGUNO
45,Brisas de la Primavera,7,Inexistente,,,,Desconocido,,Desconocido
46,"Briseño, El",8,"Módulo Deportivo ""El Briseño""",Consejo,"Tlalpan frente al 4950, esq. Juárez",1,Unidad Deportiva,1,Público
47,Bugambilias,8,Cancha Multiusos,,Cto. de las Flores Sur # 2875,,Desconocido,,Desconocido
48,"Cabañitas, Las",1B,Cancha,Vecinos,,2,Cancha Individual,1,Público
49,"Cajetes, Los",8,- Inexistente -,,,99,NINGUNO,99,NINGUNO
50,Callejón del Parque,5B,- Inexistente -,,,99,NINGUNO,99,NINGUNO
51,"Calma, La",6,Providencia Fútbol Club,,Mariano Otero Nº 4055; tel. 36315744/36315465; del lunes a domingo de 07:00 a 21:00 hrs.,1,Unidad Deportiva,2,Privado
52,"Camichín, El",8,- Inexistente -,,,99,NINGUNO,99,NINGUNO
54,Camino Real,5A,Cancha,Consejo,Av. Lázaro Cárdenas entre Niño Obrero y Santa Teresa de Jesús (sobre el camellón),2,Cancha Individual,1,Público
56,Campestre Las Palomas,RS,- Inexistente -,,,99,NINGUNO,99,NINGUNO
58,"Canteros, Los",2B,-Inexistente-,,,99,NINGUNO,99,NINGUNO
59,"Cañadas, Las (ó Bosques de San Isidro)",3,Las Cañadas Country Club,,Bosques de San Isidro Norte Nº 777; tel. 36850412/36850512,2,Cancha Individual,1,Público
61,Carlos Rivera Aceves,7,- Inexistente -,,,99,NINGUNO,99,NINGUNO
62,"Carrizal, El",1B,- Inexistente -,,,99,NINGUNO,99,NINGUNO
63,"Casita, La",4,Cancha Futbol,Consejo,Rosas y Santa Blanca,2,Cancha Individual,1,Público
64,"Centinela, El (ó Colinas del Centinela)",3,- Inexistente -,,,99,NINGUNO,99,NINGUNO
65,Centro (Cabecera),1A,Canchas U. R.,,Av. Hidalgo y Allende,2,Cancha Individual,1,Público
66,"Cerritos, Los",RN,-Inexistente-,,,99,NINGUNO,99,NINGUNO
67,Cerro de la Higuera,2B,-Inexistente-,,,99,NINGUNO,99,NINGUNO
68,Chapalita de Occidente,5A,-Inexistente-,,,99,NINGUNO,99,NINGUNO
69,Chapalita Las Fuentes,5A,Cancha de Basquetbol,Colonos,Aranzazu y Olímpica,2,Cancha Individual,2,Privado
70,Chapalita Oriente,5A,-Inexistente-,,,99,NINGUNO,99,NINGUNO
72,Chapalita Sur,6,"Módulo Deportivo, ""Parque Pinocho""",Vecinos,,1,Unidad Deportiva,1,Público
72,Chapalita Sur,6,"Unidad Deportiva ""José Guadalupe Zuno Hernández""",Vecinos,,1,Unidad Deportiva,1,Público
75,"Ciudad de los Niños, Fraccionamiento",5A,- Inexistente -,,,99,NINGUNO,99,NINGUNO
77,Ciudad del Tepeyac,6,"Cancha Deportiva ""Plaza Guadalupe"" ",,"Entre las calles Misión de San Antonio, Misión de San Patricio y Misión de San Fernando.",2,Cancha Individual,1,Público
78,Ciudad Granja,5B,Unidad Deportiva,,Calzada Central esquina Calzada Ángeles y Calzada Chulavista.,1,Unidad Deportiva,1,Público
78,Ciudad Granja,5B,Cancha,,Vallarta esquina Calzada Los Pirules.,2,Cancha Individual,1,Público
80,Colegio del Aire,4,- Inexistente -,,,99,NINGUNO,99,NINGUNO
81,Colinas de Atemajac,1B,-Inexistente-,,,99,NINGUNO,99,NINGUNO
82,Colinas de las Águilas,6,Unidad Deportiva,COMUDE,Río Colotlán frente al 2927 entre Río Cuixtle y Río Antenguillo,1,Unidad Deportiva,1,Público
83,Colinas de la Primavera,7,COMUDE,El Municipio,Noche buena y flor de durazno,1,Unidad Deportiva,1,Público
83,Colinas de la Primavera,7,COMUDE,El Municipio,Noche buena y nisperos,1,Unidad Deportiva,1,Público
85,Colinas de los Robles,3,"Canchas multiusos (futbol rápido, voleibol, basquetbol)",Comude,"Calle Pinos frente al Nº 2824, cruza con Cedros y Nogal.",2,Cancha Individual,1,Público
86,Colinas de San Javier,5B,"San Javier, Club Privado",Asociación Civil,"Paseo de las Peñas, No. 3500, Tel. 37938450",3,Club Deportivo,2,Privado
87,Colinas de Tabachines,1B,-Inexistente-,,,99,NINGUNO,99,NINGUNO
89,Colinas del Rey,3,Unidad Deportiva,Vecinos,Por Federalistas y Trafelger,1,Unidad Deportiva,,Desconocido
89,Colinas del Rey,3,Cancha de Basquetball,,Por Paseo Rey Arturo,2,Cancha Individual,1,Público
89,Colinas del Rey,3,Cancha de Ful-Ball,,Calle Trafelger,2,Cancha Individual,1,Público
90,Colinas del Río Blanco,3,- Inexistente -,,,99,NINGUNO,99,NINGUNO
91,Colli CTM,6,Unidad Deportiva,Consejo,"Felipe Carrillo frente al 5225, esq. Av. Manuel J. Clouthier",1,Unidad Deportiva,1,Público
93,Colli Primavera,7,- Inexistente -,,,99,NINGUNO,99,NINGUNO
