Mercados y Plazas Comerciales,,,,,,,,
Unidad,Nombre Unidad,Zona Coplademun,Nombre,Ubicación,Tipo,Descripción Tipo,Clase,Descripción Clase
,,,,,,,,
2,27 de Septiembre,1B,-Inexistente-,,99,NINGUNO,99,NINGUNO
3,"Abetos, Los",1B,Inexistente,,99,NINGUNO,99,NINGUNO
7,Agua Blanca Poblado,8,-Inexistente-,,99,NINGUNO,99,NINGUNO
10,Agua Fría,2A,-Inexistente-,,99,NINGUNO,99,NINGUNO
11,"Águilas, Las",6,- Inexistente -,,99,NINGUNO,99,NINGUNO
12,"Agujas, Las",RS,-Inexistente-,,99,NINGUNO,99,NINGUNO
14,"Alameda, La",6,- Inexistente -,,99,NINGUNO,99,NINGUNO
15,"Alamitos, Los",3,Sin datos,,99,NINGUNO,99,NINGUNO
17,Altamira,1A,Plaza Publica,Hetitas y Circuito Medas,3,Plaza Comercial,1,Público
19,Arboledas,6,Plaza Galileo,Galileo Galilei No. 4035,3,Plaza Comercial,1,Público
20,Arcos de Guadalupe,5A,- Inexistente -,,99,NINGUNO,99,NINGUNO
21,Arcos de Zapopan,3,La Placita,Tesistán Nº 670,2,Centro Comercial,2,Privado
22,Arenales Tapatíos ,7,-Inexistente-,,99,NINGUNO,99,NINGUNO
23,Arroyo Hondo 1ra. Sección,2A,Mini Bodega Aurrera,Prol. Federalismo,2,Centro Comercial,2,Privado
24,Arroyo Hondo 2da. Sección,2B,-Inexistente-,,99,NINGUNO,99,NINGUNO
25,Atemajac del Valle,1B,Atemajac (Granaditos),Av. Federalismo Norte Nº 2300,1,Mercado,1,Público
27,Atlas Chapalita,5A,Inexistente,,99,NINGUNO,99,NINGUNO
28,"Aurora, La",1B,-Inexistente-,,99,NINGUNO,99,NINGUNO
29,Aves del Paraíso,1A,-Inexistente-,,99,NINGUNO,99,NINGUNO
30,Azaleas Residencial,8,Plaza Azaleas,Av. Azaleas,3,Plaza Comercial,2,Privado
31,"Bajío, El",RS,- Inexistente -,,99,NINGUNO,99,NINGUNO
32,Balcones de la Cantera,2A,-Inexistente-,,99,NINGUNO,99,NINGUNO
34,Balcones del Sol (ó Balcones del Colli),7,- Inexistente -,,99,NINGUNO,99,NINGUNO
36,"Batán, El",1B,-Inexistente-,,99,NINGUNO,99,NINGUNO
38,Benito Juárez,2B,-Inexistente-,,99,NINGUNO,99,NINGUNO
39,Benito Juárez Auditorio,2A,Auditorio,Basquetbol N° 829,1,Mercado,1,Público
40,"Borrego, El",5-A,Plaza Comercial S/ nombre,M. Clutier y av. Guadalupe,3,Plaza Comercial,2,Privado
43,Bosques de Zapopan,3,Inexsitente,,99,NINGUNO,99,NINGUNO
45,Brisas de la Primavera,7,Inexistencia,,99,NINGUNO,99,NINGUNO
46,"Briseño, El",8,- Inexistente -,,99,NINGUNO,99,NINGUNO
47,Bugambilias,8,Plaza Bugambilias,"Bugambilias Nº 2299, Tel. 31884131-33, Administrador Arq. Jorge Torres Olguin",3,Plaza Comercial,2,Privado
47,Bugambilias,8,Plaza Racafu,Prol. Boulevard Bugambilias Esq. Cto. Lince OTE.,3,Plaza Comercial,2,Privado
48,"Cabañitas, Las",1B,-Inexistente-,,99,NINGUNO,99,NINGUNO
49,"Cajetes, Los",8,- Inexistente -,,99,NINGUNO,99,NINGUNO
50,Callejón del Parque,5B,- Inexistente -,,99,NINGUNO,99,NINGUNO
53,Camichines Vallarta,5A,Sams,Rafael Sanzio y Vallarta,2,Centro Comercial,2,Privado
53,Camichines Vallarta,5A,Megamercado,Rafael Sanzio y Vallarta,2,Centro Comercial,2,Privado
53,Camichines Vallarta,5A,Costco,Rafael Sanzio y Vallarta,2,Centro Comercial,2,Privado
53,Camichines Vallarta,5A,Walmart,Rafael Sanzio y Vallarta,2,Centro Comercial,2,Privado
53,Camichines Vallarta,5A,Plaza Galerias,"Av. Rafael Sanzio Nº 150, Tel. 31106072/61106287, Administrador María Guadalupe Irene Martínez Ruíz",3,Plaza Comercial,2,Privado
54,Camino Real,5A,- Inexistente -,,99,NINGUNO,99,NINGUNO
56,Campestre Las Palomas,RS,- Inexistente -,,99,NINGUNO,99,NINGUNO
58,"Canteros, Los",2B,-Inexistente-,,99,NINGUNO,99,NINGUNO
61,Carlos Rivera Aceves,7,- Inexistente -,,99,NINGUNO,99,NINGUNO
62,"Carrizal, El",1B,- Inexistente -,,99,NINGUNO,99,NINGUNO
64,"Centinela, El (ó Colinas del Centinela)",3,- Inexistente -,,99,NINGUNO,99,NINGUNO
65,Centro (Cabecera),1A,Lazaro Cárdenas,Av. Hidalgo Nº 45,1,Mercado,1,Público
65,Centro (Cabecera),1A,Santa Fé,Eva Briseño Nº 602,2,Centro Comercial,1,Público
66,"Cerritos, Los",RN,-Inexistente-,,99,NINGUNO,99,NINGUNO
67,Cerro de la Higuera,2B,-Inexistente-,,99,NINGUNO,99,NINGUNO
68,Chapalita de Occidente,5A,-Inexistente-,,99,NINGUNO,99,NINGUNO
69,Chapalita Las Fuentes,5A,- Inexistente -,,99,NINGUNO,99,NINGUNO
70,Chapalita Oriente,5A,Plaza Santa Rita,Av. Guadalupe 1558,3,Plaza Comercial,2,Privado
72,Chapalita Sur,6,Plaza Las Rosas y Tepeyac,Tepeyac 719,3,Plaza Comercial,2,Privado
72,Chapalita Sur,6,La Placita Tepeyac,Tepeyac Nº 1207,3,Plaza Comercial,2,Privado
72,Chapalita Sur,6,Plaza Las Rosas,Av. Las Rosas 249,3,Plaza Comercial,2,Privado
75,"Ciudad de los Niños, Fraccionamiento",5A,- Inexistente -,,99,NINGUNO,99,NINGUNO
76,Ciudad del Sol,6,Plaza del Sol,"Av. Adolfo López Mateos Nº 2375, tel. 31215750, Adminiastrador José Rafael Villegas.",3,Plaza Comercial,2,Privado
