ds:identifier,ds:title,ds:description,ds:keyword,ds:modified,ds:contactPoint,ds:mbox,ds:temporal,ds:spatial,ds:landingPage,ds:accrualPeriodicity,rs:title,rs:description,rs:downloadURL,rs:mediaType,rs:byteSize,rs:temporal,rs:spatial,rs:accrualPeriodicity
estad-delitos,Estadística de delitos en Zapopan 2001 - 2010,"Delitos patrimoniales, vehículos recuperados/robados, decomisos de droga","Armas, Decomisos, Delitos, Droga, Seguridad, Autos, Policia",2015-06-10T13:21:58+00:00,Zapopan Lab,zapopanlab@zapopan.gob.mx,2001-2010,Zapopan,,,,,,,,,,
estad-delitos,,,,,,,,,,, Estadística Delitos 2001 2009 -  Delitos Patrimoniales 2001-2009CSV ,"Delitos patrimoniales, vehículos recuperados/robados",https://raw.githubusercontent.com/ZapopanLab/datasets/master/estadistica_delitos_2001-2009_delitos_patrimoniales.csv,text/csv,,2001-2009,Zapopan,
estad-delitos,,,,,,,,,,, Estadística Delitos 2001 2009 -  Decomisos CSV ,"Delitos patrimoniales, vehículos recuperados/robados",https://raw.githubusercontent.com/ZapopanLab/datasets/master/estadistica_delitos_2001-2009_decomisos.csv,text/csv,,2001-2009,Zapopan,
estad-delitos,,,,,,,,,,, Estadística Delitos 2001 2009 - Robo vehiculos (sin nombre),"Delitos patrimoniales, vehículos recuperados/robados",https://raw.githubusercontent.com/ZapopanLab/datasets/master/estadistica_delitos_2001-2009_robo_vehiculos-recursosinnombre.csv,text/csv,,2001-2009,Zapopan,
estad-delitos,,,,,,,,,,, Estadística 2004-2010 ,Decomisos y delitos 2004-2010,https://raw.githubusercontent.com/ZapopanLab/datasets/master/estadistica_2004-2010_decomisos_y_delitos.csv,text/csv,,2004-2010,Zapopan,
tradiciones-colonia,Tradiciones por colonia en Zapopan,Tradiciones y costumbres por colonia en Zapopan,"costumbres, tradiciones, colonias",2015-06-17T13:00:00+00:00,Zapopan Lab,zapopanlab@zapopan.gob.mx,,Zapopan,,,,,,,,,,
,,,,,,,,,,,Tradiciones y costumbres por colonia en Zapopan,,https://raw.githubusercontent.com/ZapopanLab/datasets/master/tradiciones_y_costumbres_por_colonia.csv,text/csv,,,Zapopan,
infraestructura-municipal,Infraestructura urbana,"Infraestuctura urbana disponible en el municipio de Zapopan. Caminos, alumbrado público, agua potable, escuelas, centros culturales y bibliotecas, centros de salud y oficinas administrativas","infraestructura, adoquin, agua, alumbrado, electricidad, empedrado, fosas, pavimiento, terraceria, Biblioteca, Cultura, escuelas, deporte, salud, agencia, delegacion",2015-06-17T13:00:00+00:00,Zapopan Lab,zapopanlab@zapopan.gob.mx,2007-2009,Zapopan,,,,,,,,,,
infraestructura-municipal,,,,,,,,,,,Infraestructura urbana 2007,"Infraestructura Urbana, Zapopan 2007",https://raw.githubusercontent.com/ZapopanLab/datasets/master/ infraestructura_urbana-2007.xlsx,text/xml,,2007,"Zapopan
",
infraestructura-municipal,,,,,,,,,,,Bibliotecas 2009,Ubicación de bibliotecas en el municipio de Zapopan,https://raw.githubusercontent.com/ZapopanLab/datasets/master/bibliotecas_zapopan_2009.csv,text/csv,,2009,"Zapopan
",
