"Banco de México"

"Balanza de pagos"
""

"Fecha de consulta: 15/10/2013 03:21:00"

""

"Título","Remesas Familiares, Total","Remesas Familiares, Money Orders","Remesas Familiares, Cheques Personales","Remesas Familiares, Transferencias Electrónicas","Remesas Familiares, Efectivo y Especie","Remesas Familiares, Total","Remesas Familiares, Money Orders","Remesas Familiares, Cheques Personales","Remesas Familiares, Transferencias Electrónicas","Remesas Familiares, Efectivo y Especie"
"Periodo disponible","Ene 1995 - Ago 2013","Ene 1995 - Ago 2013","Ene 1995 - Ago 2013","Ene 1995 - Ago 2013","Ene 1995 - Ago 2013","Ene 1995 - Ago 2013","Ene 1995 - Ago 2013","Ene 1995 - Ago 2013","Ene 1995 - Ago 2013","Ene 1995 - Ago 2013"
"Periodicidad","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual"
"Cifra","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos"
"Unidad","Millones de Dólares","Millones de Dólares","Millones de Dólares","Millones de Dólares","Millones de Dólares","Miles de Operaciones","Miles de Operaciones","Miles de Operaciones","Miles de Operaciones","Miles de Operaciones"
"Base","","","","","","","","","",""
"Aviso","","","","","","","","","",""
"Tipo de información","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles"
"Fecha","SE27803","SE27804","SE27805","SE27806","SE27807","SE27808","SE27809","SE27810","SE27811","SE27812"
01/01/1995,254.5724,98.1427,2.0648,132.8102,21.5547,767.8934,344.9274,5.4350,380.4330,37.0980
01/02/1995,248.0605,90.7991,1.4335,131.3008,24.5272,755.2665,307.8125,4.6690,395.0200,47.7650
01/03/1995,287.3645,104.2090,2.0369,157.2022,23.9163,894.6024,345.0506,4.8170,477.0028,67.7320
01/04/1995,298.9135,118.2196,2.7920,155.2538,22.6480,919.7675,388.0865,6.2560,467.3210,58.1040
01/05/1995,357.7396,144.3860,2.7260,189.6743,20.9533,1132.7110,477.8710,5.4240,604.6410,44.7750
01/06/1995,352.3695,142.5336,2.7017,175.5759,31.5583,1026.2961,398.0181,5.4240,567.9920,54.8620
01/07/1995,342.8993,132.0604,1.3004,179.4495,30.0890,986.8474,378.9074,3.6190,546.2090,58.1120
01/08/1995,362.2739,155.8545,2.8595,175.6895,27.8705,1015.4162,413.0172,7.8790,553.4670,41.0530
