Tianguis,,,,
Unidad,Nombre Unidad,Zona Coplademun,Ubicación,Días
1,12 de diciembre,7,- Inexistente -,
3,"Abetos, Los",1B,Inexistente,
6,"Agrícola, La",8,Hortencia entre Camino a Santa Ana y Tulipán,Sábado
6,"Agrícola, La",8,Gladiola entre Obelisco y Jazmín,Miércoles
7,Agua Blanca Poblado,8,Guadalupe Gallo entre H. y Cairo y Privada 5 de Mayo,Domingo
9,Agua Blanca Sur,8,Av. Guadalupe Gallo,Domingos
10,Agua Fría,2A,-Inexistente-,
11,"Águilas, Las",6,Montemorelos entre Proongacion Navio y Cruz del sur,Miércoles
12,"Agujas, Las",RS,-Inexistente-,
13,Alameda de Tesistán,2A,Jardines de los Jazmines,Sábado
14,"Alameda, La",6,- Inexistente -,
15,"Alamitos, Los",3,Inexistente,
16,Altagracia,3,Av. Ind. Textil entre Agave y Torre Vieja,Lunes
19,Arboledas,6,- Inexistente -,
20,Arcos de Guadalupe,5A,- Inexistente -,
21,Arcos de Zapopan,3,A. Valentino y A. Constantino,Miércoles
21,Arcos de Zapopan,3,Arco Pertinax entre Arco del Triunfo y Arco Druso,Viernes
22,Arenales Tapatíos ,7,Mica entre Mercurio y Arroyo,Martes
22,Arenales Tapatíos ,7,Cobre entre Mercurio y Platino,Sábado
23,Arroyo Hondo 1ra. Sección,2A,Prolongación Federalismo,Miércoles
24,Arroyo Hondo 2da. Sección,2B,-Inexistente-,
25,Atemajac del Valle,1B,"Granaditos, (Experiencia), entre Cuitlahuac y E. Zapata",Viernes
28,"Aurora, La",1B,-Inexistente-,
29,Aves del Paraíso,1A,-Inexistente-,
30,Azaleas Residencial,8,Inexistente,
31,"Bajío, El",RS,- Inexistente -,
32,Balcones de la Cantera,2A,Cantera Blanca entre Brillante y Plata.,Lunes
34,Balcones del Sol (ó Balcones del Colli),7,"Lima, entre Mezquite y Galeana",Lunes
36,"Batán, El",1B,Francisco I. Madero entre Occidental y Experiencia,Domingo
38,Benito Juárez,2B,Javier Rojo Gomez entre Carretera a Saltillo y Zapotlan,Martes
39,Benito Juárez Auditorio,2A,-Inexistente-,
40,"Borrego, El",5-A,Inexistente,
41,"Bóvedas, Las",4,Azaleas entre Santa Margarita y San Marcos                       ,Jueves
44,Bosques del Centinela Ejidal,1B,- Inexistente -,
46,"Briseño, El",8,Santa Ana entre Colonos Unidos y Lopez Portillo,Viernes
46,"Briseño, El",8,Av. Las Torres entre Colonos Unidos y Santo Tomas,Domingo
47,Bugambilias,8,Inexistente,
48,"Cabañitas, Las",1B,-Inexistente-,
49,"Cajetes, Los",8,Av. Las Torres entre San Francisco y San Jose,Lunes
50,Callejón del Parque,5B,- Inexistente -,
52,"Camichín, El",8,- Inexistente -,
54,Camino Real,5A,- Inexistente -,
55,"Campanario, El",8,San Isidro entre San Jose y Javier ,Martes
56,Campestre Las Palomas,RS,- Inexistente -,
58,"Canteros, Los",2B,-Inexistente-,
61,Carlos Rivera Aceves,7,"Cobre, entre Centenario y Mercurio.",Sábado
62,"Carrizal, El",1B,- Inexistente -,
64,"Centinela, El (ó Colinas del Centinela)",3,Calle Las Misiones,Domingo
65,Centro (Cabecera),1A,"Tianguis navideño, en diciembre, por Eva Briseño.",Época navideña
66,"Cerritos, Los",RN,-Inexistente-,
67,Cerro de la Higuera,2B,-Inexistente-,
68,Chapalita de Occidente,5A,-Inexistente-,
69,Chapalita Las Fuentes,5A,- Inexistente -,
70,Chapalita Oriente,5A,- Inexistente -,
72,Chapalita Sur,6,- Inexistente -,
