Tradiciones,,,
Unidad,Nombre Unidad,Zona Coplademun,Tradición
1,12 de diciembre,7,Se festeja todos los diciembres la fiesta de la Vírgen de Guadalupe.
1,12 de diciembre,7,"En la colonia estan establecidas familias oriundas de diversas etnias indígenas y otros poblados del país, y todos aportan sus tradiciones."
1,12 de diciembre,7,"Cada octubre acuden a acompañar a la Vírgend de Zapopan a la Romería grupos de danzantes de la colonia, quienes ensayan con semanas de antelación."
3,"Abetos, Los",1B,Sin datos
6,"Agrícola, La",8,Altares de Muertos  2 Noviembre
7,Agua Blanca Poblado,8,Sin datos
8,Agua Blanca Industrial,8,16 Septiembre. Fiestas Patrias.
11,"Águilas, Las",6,Sin datos
12,"Agujas, Las",RS,-Inexistente-
14,"Alameda, La",6,Sin datos
15,"Alamitos, Los",3,Inexistente
19,Arboledas,6,Sin datos
20,Arcos de Guadalupe,5A,Sin datos
22,Arenales Tapatíos ,7,"Día de las madres, día de los niños, festejos patrios y festividades navideñas."
25,Atemajac del Valle,1B,Existen varios grupos de danza que asisten a la Romeria de Zapopan
25,Atemajac del Valle,1B,"Fiesta de la Nuestra Señora del Rosario.- Se lleva a cabo el 1o. al 15 de agosto en Atejamac del Valle y es un festejo eminentemente religioso.  

"
27,Atlas Chapalita,5A,Sin datos
30,Azaleas Residencial,8,Sin datos
31,"Bajío, El",RS,Sin datos
34,Balcones del Sol (ó Balcones del Colli),7,Sin datos
36,"Batán, El",1B,Es tradicional la producción de muebles de madera artesanales.
39,Benito Juárez Auditorio,2A,Fiestas de octubre
40,"Borrego, El",5-A,Sin datos
43,Bosques de Zapopan,3,Sin datos
45,Brisas de la Primavera,7,Sin datos
46,"Briseño, El",8,Sin datos
47,Bugambilias,8,Visitar el Ixtepete el dia del Equinoxio. Coronacion a la Reina de las Fiestas Patrias.
49,"Cajetes, Los",8,Sin datos
50,Callejón del Parque,5B,Sin datos
52,"Camichín, El",8,Se realiza la fiesta de la danza de los Tastoanes en el mes de julio.
54,Camino Real,5A,Sin datos
56,Campestre Las Palomas,RS,- Inexistente -
58,"Canteros, Los",2B,Es tradicional la producción artesanal de cantera labrada.
61,Carlos Rivera Aceves,7,"25 de diciembre, se festeja navidad, y el 1 de enero el año nuevo en la colonia."
62,"Carrizal, El",1B,- Inexistente -
64,"Centinela, El (ó Colinas del Centinela)",3,Sin datos
65,Centro (Cabecera),1A,"Durante las fiestas patrias se desarrolla un programa de actividades cívicas, culturales y deportivas."
65,Centro (Cabecera),1A,"Fiestas Patrias.- Se celebran en el mes de septiembre, durante ellas se elige a la Reina de las Fiestas Patrias, la cual es coronada el día 15."
65,Centro (Cabecera),1A,"Recorrido por la cabecera municipal que se inicia en un lugar de reunión donde velan los mariachis y se termina en la Basílica.  El 22 de noviembre.
"
65,Centro (Cabecera),1A,Mañanitas a Santa Cecilia.- Se verifica el 22 de noviembre en la basílica. Esta santa es reconocida como la Santa Patrona de los músicos.
65,Centro (Cabecera),1A,"Romería de la Virgen de Zapopan.- Se efectúa el día 12 de Octubre, cuando la imagen es llevada de la Catedral de Guadalajara a la Basílica de Zapopan."
67,Cerro de la Higuera,2B,Sin datos
68,Chapalita de Occidente,5A,Sin datos
69,Chapalita Las Fuentes,5A,Sin datos
70,Chapalita Oriente,5A,- Inexistente -
72,Chapalita Sur,6,Sin datos
75,"Ciudad de los Niños, Fraccionamiento",5A,Sin datos
78,Ciudad Granja,5B,Es tradicional la producción de muebles de ratán y adornos de forja .
80,Colegio del Aire,4,- Inexistente -
86,Colinas de San Javier,5B,Ninguna
90,Colinas del Río Blanco,3,- Inexistente -
93,Colli Primavera,7,Sin datos
95,Colli Poblado (ó Colli Ejidal),6,- Sin datos -
96,Colli Sitio,5A,Sin datos
97,Colli Urbano ,6,Sin datos
107,Conjunto Zapopan,1B,Sin datos
110,Copala,RN,Anualmente los vecinos de los poblados San Esteban y Fuentecillas realizan peregrinaciones el día de la Virgen.
111,Copalita Poblado,RS,La fiesta de la Virgen de Guadalupe
113,Coronilla del Ocote,RS,Sin datos
117,Don Bosco Vallarta,5A,Sin datos
120,Ejido Zapopan,?,Fiestas Navideñas
124,Eucalipto Vallarta,5A,Sin datos
125,Exitmex,5A,Sin datos
126,Exhacienda del Lazo,RN,Sin datos
128,"Flores, Las",5A,Sin datos
130,"Florida, La",8,Sin datos
133,"Bosques del Centinela, Fraccionamiento",2A,Sin datos
134,"Cristal, Fraccionamiento",8,Sin datos
137,Francisco Sarabia,8,El 16 de Septiembre se celebran las fiestas patrias tradicionalmente.
138,Francisco Sarabia Poniente,8,Es hacer una posada en Diciembre
140,"Fresno, El",4,Sin datos
141,"Fuentes, Las",6,- Sin datos -
143,"Giralda, la",6,Sin datos
145,Girasoles Elite,4,Grito de Independencia
146,"Gloria, La",5A,Sin datos
148,"Grana, La",3,Sin datos
149,Guadalajarita (ó Club Atlas),1A,Sin datos
150,Guadalupe Jardín,5A,Sin datos
151,"Guayabos, Comunidad Ecológica, Los",2A,Sin datos
153,Haciendas de las Lomas,5B,- Inexistente -
154,Hacienda de Tepeyac I,6,Sin datos
155,Hacienda de Tepeyac II,6,- Sin datos -
156,Hacienda la Mora,4,"Semana Santa.- Durante esta semana, es recordada la Pasión de Cristo con la escenificación del Vía Crucis "
159,"Haciendita, La",8,Sin datos
160,Heroes Nacionales,4,Sin datos
163,Hogares,2B,Sin datos
167,Huaxtla,RN,"Fiesta al Santo Santiago.- Los días 25, 26 y 27 de julio,  se lleva a cabo la fiesta en honor a este santo."
169,"Húmedo de Nextipac, El",RS,- Inexistente -
171,Indígena de San Juan Ocotán,4,Sin datos
173,Industrial Zapopan Norte,3,"En junio, los niños, jóvenes, viejos, hombres y mujeres que deseen miden su habilidad para derribar al contrario a fuerza ""de canilla"""
173,Industrial Zapopan Norte,3,El 29 de junio una comisión de comuneros recorren el casería para reunir apoyos en dinero y especie (principal mente gallos)
175,Ixcatán Poblado,RN,Las luchas es una tradición en la que quien lo desee se puede medir sus fuerzas en derribar a otros a fuerza de canilla y por el cinto.
175,Ixcatán Poblado,RN,En junio se recolectan apoyos economicos y en especie (gallos) para los músicos que amenizan las celebraciones.
175,Ixcatán Poblado,RN,"Antes del inicio de las luchas, en procesión se lleva a San Pedro a la presa, se recorre parte del antiguo ""camino real"" hasta llegar a la presa, a es"
175,Ixcatán Poblado,RN,"Fiesta de los guajolotes, en Semana Santa"
178,Jardines de San Ignacio,5A,"Sin datos
"
180,Jardines Tapatíos,7,Sin datos
182,Jardines del Ixtépete,8,Sin datos
185,Jardines de Guadalupe,5A,Sin datos
186,Jardines de la Esperanza,2A,sin datos
191,Jardines de Nuevo México,4,Sin datos
197,Jardines del Sol,6,Sin datos
198,Jardines del Valle,4,Sin datos
201,Jardines Universidad,5B,Visita de la Virgen de Zapopan
203,Jocotán,5A,Fiesta de los Tastoanes del 8 al 9 de septiembre.
209,Loma Bonita,6,Sin datos
210,Loma Bonita Ejidal,6,Sin datos
211,Loma Bonita Residencial,6,sin datos
212,Loma Bonita Sur,6,Sin datos
213,Loma Real,5B,"Sin datos
"
214,"Loma, La",1B,Sin datos
215,Lomas Altas,5B,Sin datos
217,Lomas de Guadalupe,5A,Sin datos
218,Lomas de la Primavera,7,Sin datos
220,Lomas de Tabachines ,2A,El 16 de Septiembre festivales y el Grito
223,Lomas del Bosque,1A,Sin datos
226,Lomas del Colli ,5A,Sin datos
229,Lomas del Seminario Norte,5A,Sin datos
234,"Magdalena, La",RS,"Visita de la Vírgen de Zapopan, que data del año 1735"
235,"Mante, El",8,El 8 de Septiembre y el 19 Marzo Festividad de Nuestra Señora de la Defensa en San Jose de Mante
235,"Mante, El",8,El 16 de Septiembre festividad del grito de la independecia de Mèxico
236,Marcelino García Barragán,3,- Sin datos -
240,Mesa Colorada Poniente,2B,"Desfile del 16 de Sep., Sortija de Charros el 16 de Sep. y el 20 de Nov.
Tambien torneos de Futbol y Voleibol"
243,Miguel de la Madrid,8,Participacion de Eventos Deportivos
245,Milpillas Mesa de San Juan,RS,Sin datos
248,Mirador del Sol,6,Visita anual de la Vírgen de Zapopan en Mayo.
248,Mirador del Sol,6,Vía Crucis en semana santa
250,Miramar,7,Sin datos
251,Misión Jardines,4,Sin datos
252,Misión de San Isidro (ó Misión del Bosque),3,Sin datos
255,Nextipac,RS,"Fiesta al Santo Santiago.- Los días 25, 26 y 27 de julio, se lleva a cabo la fiesta en honor a este santo."
255,Nextipac,RS,"Tastoanes.- Los días 25, 26 y 27 de julio, se ejecuta esta danza, que representa la aparición de Santo Santiago en las guerras de conquista."
258,Nueva Primavera (ó Colli Nueva Primavera),6,- Sin datos -
263,Palo Gordo,RS,Sin datos
266,Paraísos del Colli,7,Sin datos
267,Paraíso Los Pinos,8,Sin datos
268,Parque Industrial Belenes Norte,1A,Sin datos
269,Parques de la Castellana,5B,Sin datos
270,Parque Regency,5B,Sin datos
271,Parques de Tesistán,RS,"Desfile de la feria del elote, cada año en tiempo de lluvias."
271,Parques de Tesistán,RS,"Procesión de San Francisco, cada año en octubre."
274,Paseos del Briseño,8,No existen tradiciones específicas de esta colonia.
277,Paso de Guadalupe (ó El Morado),RN,sin datos
284,Periodistas,6,"Las posadas a dìas antes del 16 al 24 Dic.
Cada familia toma un dìa para rezar el rosario y repartir dulces (posadas)"
285,Pinar de la Calma,6,Sin datos
287,"Pinos Campestre, Los",8,Sin datos
289,Pirámides,6,Sin datos
291,Praderas de San Antonio,4,Sin datos
293,Prados de Santa Lucia ,RS,Zona productora de ladrillo colorado.
295,Prados Tepeyac,6,Sin datos
297,"Primavera, La",RS,Durante la Semana Santa es tradición realizar el Vía Crucis por las calles del poblado.
298,Primavera Norte,6,Sin datos
301,Puerta del Sol,5B,Sin datos
302,Rancho Contento,RS,"Torneos deportivos, Posadas y Halloween."
303,Rancho El Centinela,3,Sin datos
304,Rancho el Sol (ó Placita del Sol),3,Sin datos
308,Real Vallarta,5A,Ninguna
310,Residencial Arboledas,6,"Sin datos
"
311,Residencial Ciudad de los Niños,5A,Sin datos
314,Residencial del Bosque,8,Sin datos
315,Residencial Guadalupe,5A,Sin datos
